year_week,amount
2021-01,20000.0
2021-02,34800.0
2021-03,47000.0
2021-04,181666.91
2021-05,111056.5
2021-06,672195.86
2021-07,53935.0
2021-08,399625.02999999997
2021-09,842317.14
2021-10,1050092.3900000001
2021-11,113681.82
2021-12,885624.0
2021-13,124467.08
2021-14,4474.53
2021-15,150096.79
2021-16,104023.67
2021-17,658419.53
2021-18,451281.09
2021-19,484893.99
2021-20,447094.57
2021-21,366205.6
2021-22,637395.7800000001
2021-23,201464.7
2021-24,161701.21000000002
2021-25,170084.91
2021-26,211222.52
2021-27,197116.8
2021-28,405539.4
2021-29,110817.0
2021-30,1129173.3399999999
2021-31,162831.0
2021-32,161220.0
2021-33,366512.19
2021-34,172300.0
2021-35,105777.89000000001
2021-36,173142.0
2021-37,1171388.7999999998
2021-38,88246.14
2021-39,120558.4
2021-40,218740.50999999998
2021-41,1074120.0
2021-42,403500.0
2021-43,91066.0
2021-44,248450.0
2021-45,223461.84
2021-46,297680.06
2021-47,245215.02000000002
2021-48,599517.98
2021-49,686284.5
2021-50,1131743.05
2021-51,514778.94
2021-52,184313.15000000002
2022-00,50734.0
2022-01,180456.0
2022-02,712713.03
2022-03,443744.0
2022-04,650910.65
2022-05,234828.8
2022-06,957616.55
2022-07,239593.0
2022-08,867013.91
2022-09,93379.81
2022-10,116247.29
2022-11,89830.12000000001
2022-12,783876.6
2022-13,193911.2
2022-14,171035.31
2022-15,108923.19
2022-16,142140.41999999998
2022-17,454325.27999999997
2022-18,201555.81
2022-19,216410.72
2022-20,444447.3
2022-21,547582.5800000001
2022-22,723693.06
2022-23,230772.78
2022-24,105427.19
2022-25,1314564.59
2022-26,590123.08
2022-27,140682.44
2022-28,404528.3
2022-29,284584.61
2022-30,233270.0
2022-31,213354.4
2022-32,139523.6
2022-33,36332.0
2022-34,76626.0
2022-35,404184.6
2022-36,314128.64
2022-37,170360.9
2022-38,62654.45999999999
2022-39,954824.48
2022-40,224961.47
2022-41,258787.0
2022-42,204338.0
2022-43,400563.8
2022-44,137746.25
2022-45,360037.0
2022-46,1997655.77
2022-47,289674.0
2022-48,231164.38
2022-49,114264.0
2022-50,416023.98000000004
2022-51,1133770.51
2022-52,84561.0
2023-01,58118.13
2023-02,154120.0
2023-03,66659.9
2023-04,616509.1300000001
2023-05,150515.6
2023-06,307083.2
2023-07,227995.5
2023-08,644512.97
2023-09,95422.0
2023-10,1399687.6
2023-11,148668.59
2023-12,122131.01
2023-13,85686.6
2023-14,276094.2
2023-15,729225.87
2023-16,398785.2
2023-17,729094.9099999999
2023-18,184018.5
2023-19,369948.22000000003
2023-20,507666.72
2023-21,167586.5
2023-22,331064.82999999996
2023-23,746137.7999999999
2023-24,406126.95
2023-25,320266.82999999996
2023-26,669720.9999999999
2023-27,355794.63
2023-28,326903.54
2023-29,162796.81
2023-30,2620091.6900000004
2023-31,147976.0
2023-32,367831.0
2023-33,102350.0
2023-34,549000.0
2023-35,228807.0
2023-36,160937.75
2023-37,1249469.2
2023-38,828100.0
2023-39,229914.6
2023-40,194986.0
2023-41,300784.0
