year_week,year,month,amount
2023-42,2023,10,36310.60724075511
2023-43,2023,10,-688759.904648969
2023-44,2023,11,1026168.1886663781
2023-45,2023,11,-747103.491231475
2023-46,2023,11,-1689908.891675395
2023-47,2023,11,-2482537.9303477686
2023-48,2023,12,-3142962.421205691
2023-49,2023,12,-4568685.796948554
2023-50,2023,12,-6578258.128628473
2023-51,2023,12,-5976345.393589285
2023-52,2023,12,-9793555.849174544
2024-01,2024,1,-12907846.871598106
2024-02,2024,1,-16162907.098090738
2024-03,2024,1,-19731180.30470677
2024-04,2024,1,-24489703.619580865
2024-05,2024,2,-30611088.543999173
2024-06,2024,2,-33957312.43202045
2024-07,2024,2,-43182199.35976257
2024-08,2024,2,-52085143.11581787
2024-09,2024,3,-61888383.802368104
2024-10,2024,3,-72742075.85847282
2024-11,2024,3,-85732527.77214105
2024-12,2024,3,-101229091.13008393
2024-13,2024,3,-114298777.36049461
2024-14,2024,4,-135155406.12204745
2024-15,2024,4,-156615342.4011283
2024-16,2024,4,-180234147.8300801
2024-17,2024,4,-206226311.7210935
2024-18,2024,5,-235864347.97589773
2024-19,2024,5,-269775525.6788081
2024-20,2024,5,-302230634.74433094
2024-21,2024,5,-345054963.6409353
2024-22,2024,6,-390087923.1628235
2024-23,2024,6,-439264512.4623772
2024-24,2024,6,-492878733.3788537
2024-25,2024,6,-552429556.2260067
2024-26,2024,6,-618823380.4628077
2024-27,2024,7,-685573229.823849
2024-28,2024,7,-766140756.7604969
2024-29,2024,7,-851425570.8386881
